编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,明天的木木啊,12173684,置顶麻烦大家看一下我置顶动态第一条，我需要大家的帮助,2022-09-30 12:09,1
1,一级评论,up主,up主,-呆萌DiaMond-,7418060,输液港应该是创口会大一些吧，置入和取出都会有创口。PICC相对感染和静脉血栓的风险会高一些……我姥爷长期卧床的时候，敷料都是社区医院的护士姐姐来家里换，确实相对麻烦点。话说木木是山东人吗？,2021-12-17 15:13,53
1,二级评论,-呆萌DiaMond-,7418060,明天的木木啊,12173684,输液港好像置入的也比较麻烦，我要走大病报销，只能去医院换药，之前在老家都是自费换，太贵了,2021-12-17 20:18,1
1,二级评论,-呆萌DiaMond-,7418060,上尉_诗人,472272740,回复 @明天的木木啊 :我母亲术前4次，术后4次化疗，包括手术时，一直带着这个，每周去一次医院，很费劲，中间还有轻度血栓了，吃利伐沙班，时间过长周围皮肤几次都起水泡，还要去医院处理，本地这三甲医院辅料分为两种，尽量选那种周边不带胶布有透气孔那种，前期换一次报销完30多块，后期就20来块钱了，前几天复查一切都好，祝up一切顺利，早日康复。,2021-12-19 17:20,1
1,二级评论,-呆萌DiaMond-,7418060,明天的木木啊,12173684,回复 @上尉_诗人 :我之前夏天的时候也起过水泡，报销完应该是三十五左右，希望能和你母亲一样顺利,2021-12-19 18:57,0
1,二级评论,-呆萌DiaMond-,7418060,w猫a猫w,1253136942,我用的输液港，置港的时候是个小手术，应该是28天护理一次，因为21天化疗一次，所以正常化疗的话，不用专门再去护理。,2021-12-27 11:34,0
1,二级评论,-呆萌DiaMond-,7418060,明天的木木啊,12173684,输液港好像置入的也比较麻烦，我要走大病报销，只能去医院换药，之前在老家都是自费换，太贵了,2021-12-17 20:18,1
1,二级评论,-呆萌DiaMond-,7418060,上尉_诗人,472272740,回复 @明天的木木啊 :我母亲术前4次，术后4次化疗，包括手术时，一直带着这个，每周去一次医院，很费劲，中间还有轻度血栓了，吃利伐沙班，时间过长周围皮肤几次都起水泡，还要去医院处理，本地这三甲医院辅料分为两种，尽量选那种周边不带胶布有透气孔那种，前期换一次报销完30多块，后期就20来块钱了，前几天复查一切都好，祝up一切顺利，早日康复。,2021-12-19 17:20,1
1,二级评论,-呆萌DiaMond-,7418060,明天的木木啊,12173684,回复 @上尉_诗人 :我之前夏天的时候也起过水泡，报销完应该是三十五左右，希望能和你母亲一样顺利,2021-12-19 18:57,0
1,二级评论,-呆萌DiaMond-,7418060,w猫a猫w,1253136942,我用的输液港，置港的时候是个小手术，应该是28天护理一次，因为21天化疗一次，所以正常化疗的话，不用专门再去护理。,2021-12-27 11:34,0
2,一级评论,up主,up主,虾饺饺,1445282,我麻麻的picc没有保护套在想要不要买一个。看完up主说得更心疼麻麻了up也要加油！,2021-12-20 01:50,29
2,二级评论,虾饺饺,1445282,Fluoroben2ene,15061588,回复 @wang_jack7813 :留置针相当于留一个针头在手上，   picc是需要做个小手术放导管进血管一直到靠近心脏的地方..,2022-09-14 21:52,0
3,一级评论,up主,up主,多肉多毛,248842531,撕这个胶布，体毛越重越痛苦，护士给我输液扎针，扎到哪里我刮到哪里，加油，看气色不错。,2021-12-17 16:29,22
3,二级评论,多肉多毛,248842531,明天的木木啊,12173684,我是毛少星人，我养的修勾也毛少，这东西难道也是物以类聚？,2021-12-17 20:16,1
4,一级评论,up主,up主,长岛冰茶4623,12276676,看着很疼的感觉，姐姐真的挺坚强乐观的，，一定会快点好起来的,2021-12-17 14:45,16
4,二级评论,长岛冰茶4623,12276676,明天的木木啊,12173684,希望这次能控制住病情，不枉费我这么乐观呀！,2021-12-17 20:15,0
4,二级评论,长岛冰茶4623,12276676,长岛冰茶4623,12276676,回复 @明天的木木啊 :一定可以的,2021-12-17 20:53,0
4,二级评论,长岛冰茶4623,12276676,明天的木木啊,12173684,回复 @小五小六 :你一给我评论，我就感觉充满自信和力量,2021-12-17 20:55,0
4,二级评论,长岛冰茶4623,12276676,长岛冰茶4623,12276676,回复 @明天的木木啊 :其实，看着姐姐的视频，我也一直在被鼓励着哦，我们一起加油！！！,2021-12-17 22:26,0
4,二级评论,长岛冰茶4623,12276676,明天的木木啊,12173684,回复 @小五小六 :万事加油，事事如意,2021-12-18 05:34,0
4,二级评论,长岛冰茶4623,12276676,长岛冰茶4623,12276676,回复 @明天的木木啊 :嗯呢，嘿嘿,2021-12-18 19:25,0
4,二级评论,长岛冰茶4623,12276676,守护最好的鱼大壮,477535331,加油啊，看着就很疼，,2021-12-19 17:13,0
5,一级评论,up主,up主,菜菜慧姊,436682662,生病的孩子就是苦 真的太苦太苦了,2021-12-18 22:44,14
6,一级评论,up主,up主,祥雪84,229734968,我这个乳腺癌患者后天也要开始一疗了，和up主一起加油。其实穿刺术怎么说，说句有点那个的话，如果你有过干架经验，会发现麻醉后穿刺的疼痛甚至可以忽略不计（比如我）上次我做乳腺穿刺，那疼痛跟被蚂蚁咬了一口相比根本不值一提,2021-12-19 00:56,11
6,二级评论,祥雪84,229734968,明天的木木啊,12173684,我们一起加油！,2021-12-19 18:59,0
6,二级评论,祥雪84,229734968,Vending-machineM,24330228,回复 @明天的木木啊 :一起加油,2022-01-17 22:32,0
6,二级评论,祥雪84,229734968,Vending-machineM,24330228,一起加油,2022-01-17 22:32,0
7,一级评论,up主,up主,祥雪84,229734968,输液港虽然感染风险小，对生活影响也小，但严重的不良反应似乎比picc更多（比如会有排斥，异物感甚至气胸）而且护士技术不好的话，扎输液港也是可能漏得一塌糊涂。,2021-12-19 00:51,6
8,一级评论,up主,up主,你是我的沙雕媳妇,406204666,我爸小细胞癌…..唉，想化疗但看到这个唉，怕了怕了,2022-01-25 14:22,0
8,二级评论,你是我的沙雕媳妇,406204666,明天的木木啊,12173684,,2022-01-25 18:37,0
9,一级评论,up主,up主,清静清闲养老院,4757303,小姐姐加油,2022-01-11 19:17,0
9,二级评论,清静清闲养老院,4757303,明天的木木啊,12173684,,2022-01-11 21:07,0
10,一级评论,up主,up主,啊啊啊啊科学实验站66,395098846,加油,2022-01-09 08:17,0
11,一级评论,up主,up主,鲛绡,3765064,感谢科普~祝你早日康复也希望大家都用不上这个啦,2021-12-28 19:51,1
11,二级评论,鲛绡,3765064,明天的木木啊,12173684,谢谢(=・ω・=),2021-12-28 20:00,0
12,一级评论,up主,up主,树上有只大肥猫,9487246,我16年结束的化疗疗程，一定要相信医生，会治好的！小姐姐加油(๑Ő௰Ő๑),2021-12-27 23:27,2
13,一级评论,up主,up主,明天的木木啊,12173684,最新问题解答【抗癌vlog】带着picc管到底怎么洗澡，置管后的五大问题全面解答！,2021-12-27 20:54,4
14,一级评论,up主,up主,东洛少年,260211370,加油！,2021-12-27 11:23,1
15,一级评论,up主,up主,1哈路野,283324834,祝福你吖,2021-12-26 20:34,2
15,二级评论,1哈路野,283324834,明天的木木啊,12173684,谢谢(｀・ω・´),2021-12-26 21:01,0
16,一级评论,up主,up主,想象之中___-,28389969,置管3天了，天天流血，天天换膜,2021-12-25 12:07,4
16,二级评论,想象之中___-,28389969,想象之中___-,28389969,刚做完的时候也是跟你一样，纱布全是血,2021-12-25 12:08,0
16,二级评论,想象之中___-,28389969,明天的木木啊,12173684,妈呀，咋回事,2021-12-25 13:26,0
16,二级评论,想象之中___-,28389969,想象之中___-,28389969,回复 @明天的木木啊 :不知道，昨天中午清洁了一遍，一直到晚上睡觉和中途两点醒来都没发现出血，到了六点多醒来检查发现流血了现在刚又换了一遍膜，感觉不会再出血了，因为昨天换的时候消毒会觉得痛，今天已经没感觉了，伤害估计是愈合了,2021-12-25 15:53,2
