编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,kmhmw,527537312,爷爷加油 我是学生没有什么收入 不能帮到您什么 只能认真看完视频然后三连 尽自己的一份薄力,2022-08-26 18:50,166
0,二级评论,kmhmw,527537312,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-26 18:51,1
0,二级评论,kmhmw,527537312,JOYboom,167198239,超棒呀！小天使,2022-08-26 20:41,0
0,二级评论,kmhmw,527537312,晓城岚,1129409943,没事的，心意尽到了就可以啦,2022-08-26 21:57,0
0,二级评论,kmhmw,527537312,熊孩子2683,2083867935,我也是学生，也是江苏的,2022-08-26 22:07,0
0,二级评论,kmhmw,527537312,南安桥淮,356618833,昨天一口气给爷爷投了二十多个币，我现在攒币下次再来,2022-08-27 08:30,1
0,二级评论,kmhmw,527537312,账号已注销,381474147,回复 @南安桥淮 :加油，加入风纪委员努力一点一个月额外给你30个硬币,2022-08-27 09:11,0
1,一级评论,up主,up主,Hpuprains,1540452791,来啦来啦来啦我的好爷爷，今天的菜看起来特别有食欲（当然以前的也有食欲），已点赞投币啦！！！我明天就开学了真的不想开学呜呜呜，爷爷要天天开心哦,2022-08-26 18:41,64
1,二级评论,Hpuprains,1540452791,景秀前程老周抗癌中,1403656459,学业为重，谢谢你！,2022-08-26 18:42,2
1,二级评论,Hpuprains,1540452791,小熊爱上吃饭了没,588820885,哈哈哈哈哈，爷爷今天做的菜看着很有食欲呢！,2022-08-26 22:16,0
1,二级评论,Hpuprains,1540452791,一只老神经awa,1104180707,我也明天开学好像我们这里一开学就要考试,2022-08-27 11:03,0
2,一级评论,up主,up主,OscarEmboaba11,1426608363,隔着屏幕都闻到香味了,2022-08-26 18:42,33
2,二级评论,OscarEmboaba11,1426608363,景秀前程老周抗癌中,1403656459,哈哈，谢谢你！,2022-08-26 18:43,0
3,一级评论,up主,up主,我叫小白李,1131534625,热乎的,2022-08-26 18:47,22
3,二级评论,我叫小白李,1131534625,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-26 18:47,0
4,一级评论,up主,up主,泯Min_,483365103,我明天就要开学啦爷爷，以后再见啦，今晚把我剩的币都投给您其他的视频里啦（希望以后回来爷爷还记得我）,2022-08-27 00:58,18
4,二级评论,泯Min_,483365103,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 06:39,0
5,一级评论,up主,up主,难分难舍真与假,312986462,爷爷晚上好，爷爷加油啊！,2022-08-26 18:49,9
5,二级评论,难分难舍真与假,312986462,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-26 18:50,1
6,一级评论,up主,up主,好耶夜哈j,1099543875,爷爷，我马上就要开学，可能没有时间看你直播，不过我每天都会三连的,2022-08-26 18:56,8
6,二级评论,好耶夜哈j,1099543875,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:19,0
7,一级评论,up主,up主,见天若锦_0924,5155494,今天又有虾仁呀，西蓝花和虾仁我都喜欢吃。爷爷加油,2022-08-26 18:40,7
7,二级评论,见天若锦_0924,5155494,景秀前程老周抗癌中,1403656459,哈哈，谢谢你！,2022-08-26 18:41,0
8,一级评论,up主,up主,小王狒,1684632026,看到大家都为爷爷加油，真的感动到了，爷爷健康！大家一起赶走病魔！,2022-08-27 21:18,5
8,二级评论,小王狒,1684632026,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 21:34,0
9,一级评论,up主,up主,泠离小姐,406771558,爷爷加油，请记住我哦,2022-08-26 22:42,5
9,二级评论,泠离小姐,406771558,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:40,0
10,一级评论,up主,up主,是谭sir啊,1133113286,爷爷加油，每天都会支持您的!,2022-08-26 23:32,4
10,二级评论,是谭sir啊,1133113286,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:39,1
11,一级评论,up主,up主,マルチバンド妄想,450872343,喜欢今天的菜~,2022-08-26 23:15,4
11,二级评论,マルチバンド妄想,450872343,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:39,0
12,一级评论,up主,up主,64345sx,2221053,虾仁看着好香啊,2022-08-26 23:05,4
12,二级评论,64345sx,2221053,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:39,0
12,二级评论,64345sx,2221053,64345sx,2221053,回复 @景秀前程老周抗癌中 :爷爷客气了,2022-08-27 07:05,0
13,一级评论,up主,up主,冷漠小羊在线冲浪,1478729281,爷爷爷爷你是哪里人呀？今天状态看起来又不错了加油加油,2022-08-26 22:36,4
13,二级评论,冷漠小羊在线冲浪,1478729281,景秀前程老周抗癌中,1403656459,江苏苏州的，谢谢你！,2022-08-27 06:39,0
14,一级评论,up主,up主,账号已注销,1779107987,爷爷加油！,2022-08-26 20:04,4
14,二级评论,账号已注销,1779107987,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:18,1
